Date,Open,High,Low,Close,Adj Close,Volume
2020-02-03,4.200000,4.270000,4.120000,4.130000,4.004241,32328200
2020-02-04,4.180000,4.200000,4.080000,4.090000,3.965459,28185000
2020-02-05,4.170000,4.200000,4.020000,4.070000,3.946068,40597100
2020-02-06,4.070000,4.070000,3.890000,3.890000,3.771549,27358200
2020-02-07,3.920000,3.950000,3.860000,3.900000,3.781244,76469800
2020-02-10,3.890000,3.900000,3.800000,3.810000,3.693985,30190500
2020-02-11,3.880000,3.890000,3.800000,3.810000,3.693985,21732300
2020-02-12,3.790000,3.850000,3.760000,3.770000,3.655203,52346900
2020-02-13,3.780000,3.810000,3.710000,3.710000,3.597030,15930500
2020-02-14,3.740000,3.820000,3.700000,3.790000,3.674593,22475100
2020-02-18,3.750000,3.750000,3.630000,3.630000,3.519466,24066000
2020-02-19,3.660000,3.670000,3.630000,3.670000,3.558248,14004200
2020-02-20,3.680000,3.710000,3.650000,3.690000,3.577639,32074200
2020-02-21,3.600000,3.680000,3.590000,3.670000,3.558248,37231200
2020-02-24,3.590000,3.630000,3.570000,3.580000,3.470988,40853900
2020-02-25,3.600000,3.640000,3.570000,3.610000,3.500074,32193100
2020-02-26,3.580000,3.670000,3.540000,3.570000,3.461293,66486300
2020-02-27,3.170000,3.340000,3.170000,3.250000,3.151037,110938200
2020-02-28,3.110000,3.230000,3.100000,3.210000,3.112255,42324700
2020-03-02,3.270000,3.330000,3.250000,3.310000,3.209209,41766600
2020-03-03,3.280000,3.380000,3.260000,3.280000,3.180123,44030700
2020-03-04,3.280000,3.400000,3.280000,3.400000,3.296469,54380800
2020-03-05,3.240000,3.340000,3.240000,3.310000,3.209209,66466000
2020-03-06,3.250000,3.360000,3.240000,3.330000,3.228601,84144100
2020-03-09,3.050000,3.250000,3.050000,3.080000,2.986213,79975700
2020-03-10,3.090000,3.150000,2.950000,3.120000,3.024995,60029400
2020-03-11,3.050000,3.070000,2.750000,2.850000,2.763216,37799800
2020-03-12,2.040000,2.730000,2.040000,2.610000,2.530525,44605500
2020-03-13,2.830000,2.910000,2.540000,2.640000,2.559612,40229000
2020-03-16,2.270000,2.400000,2.110000,2.110000,2.045750,26411000
2020-03-17,2.310000,2.400000,2.170000,2.300000,2.229964,76122100
2020-03-18,2.110000,2.180000,2.040000,2.120000,2.055445,45951600
2020-03-19,2.120000,2.400000,2.000000,2.340000,2.268746,21856600
2020-03-20,2.410000,2.510000,2.350000,2.400000,2.326920,45750300
